團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
中華行銷管理協會,社會團體,093/11/27,陳曙光,已立案,0937-096618,0930047574,100臺北市中正區忠孝路1段114號4樓
中華王靈慈善協會,社會團體,099/08/01,張玉玲,已立案,02-26521985,0990177136,115臺北市南港區東新街170巷7弄7號3樓(104.07.02核備)
中華建築公共安全學會,社會團體,088/03/06,莊輝和,已立案,02-2394-8138,8811306,100臺北市中正區羅斯福路2段50號9樓-2
台灣全球網絡與環境協會,社會團體,095/05/27,陳馨慧,已立案,02-2581-8735,0950099235,104臺北市中山區錦州街4巷10弄1號2樓
台灣肌力及體能訓練協會,社會團體,102/10/04,江界山,已立案,02-26181305,1020365670,249新北市八里區米倉里8鄰龍米路2段125巷21號
臺灣MLD罕見疾病病友關懷協會,社會團體,102/12/17,李碧如,已立案,0960640225,1030100686,326桃園市楊梅區東森路70巷13號
中華民國電力技術證照協會,社會團體,090/12/30,林國棟,已立案,05-374-2215,,616嘉義縣新港鄉大潭村22鄰10號
台灣傳統茶道文化產業發展協會,社會團體,101/06/15,黃光裕,已立案,06-6324589,1010249963,733臺南市東山區聖賢里頂窩66號
中華物業服務管理協會,社會團體,099/07/31,毛薇瑛,已立案,07-7920483,0990216347,830高雄市鳳山區830過雄街55巷49號11樓
中華民國不動產交易安全策進會,社會團體,085/11/11,莊孟翰,已立案,02-2343-2000,8677821,臺北市羅斯福路二段九號十樓之一
陪您育兒教練協會,社會團體,103/11/22,陳國棟,已立案,04-2560559,1030330758,420臺中市豐原區葫蘆墩一街309號2樓
台灣樂成老人暨家庭關懷協會,社會團體,099/10/16,蕭允泰,已立案,04-8237850,0990231668,513彰化縣埔心鄉明聖路一段179巷50號
台灣海峽兩岸農業產品推廣促進會,社會團體,097/11/21,黃芸,已立案,02-77430898,0970201745,106臺北市大安區安和路二段5號4樓之4(104.5.5核備)
中華愛藝協會,社會團體,098/09/09,黃承志,已立案,02-23216603,0980217533,臺北市金山南路二段12號3樓
臺灣湖南常德同鄉會,社會團體,104/10/28,肖云霞,已立案,02-2670-4337,1040097189,239新北市鶯歌區239朝陽街49巷9號
台灣洪門中興協會,社會團體,098/02/17,陳杏州,已立案,0955172869,0980090121,404臺中市北區404尚德街113號
中華奧林匹克之友協會,社會團體,089/12/22,呂慶將,已立案,02-2778-9530,,104臺北市中山區朱崙街20號8樓
台灣病理學會,社會團體,056/07/16,周德盈,已立案,03-3281200#2746,9024812,臺北市石牌路2段201號
中華民國水族類商業同業公會,職業團體,100/10/01,李峰成,已立案,,1000022316,220新北市板橋區四維路112巷34號1樓
台灣延祺文化慈善協會,社會團體,104/01/25,林勛,已立案,02-89118927,1040021497,231新北市新店區寶宏路5之1號五樓
中華民國霧峰文化創意協會,社會團體,094/08/27,林錫銓,已立案,04-23328390,0940037080,413臺中市霧峰區萊園路141巷82號(該會於104.11.12函報內政部異動備查)
中華奇蹟幸運草協會,社會團體,104/05/17,吳桂毓,已立案,0985-487402,1040079138,408臺中市南屯區春社里建功路250號
中華民國新齊家促進會,社會團體,082/03/06,石滋宜,解散,02-2728-2223,,臺北市松德路六五號五樓之三
台灣服飾設計師協會,社會團體,102/06/24,林國基,已立案,02-2775-4636,1020266576,106臺北市信義路4段313號4樓
中華如來慈善功德會,社會團體,102/03/02,賴秋霖,已立案,03-3354351,1020163116,嘉義縣中埔鄉石硦村73-6號
中華民國數位行動維修技術協會,社會團體,095/03/31,陳心毅,已立案,03-3396342,0950076044,330桃園市桃園區復興路43號2樓
中華人力創新發展協會,社會團體,095/03/16,周正賢,已立案,02-87876100,0950081951,110臺北市信義區忠孝東路4段555號
中華民國車禍權益保障協會,社會團體,102/06/16,楊振豫,已立案,04-24832080,1020303614,540南投縣南投市內興里新興路466號
台灣勞動職業安全衛生協會,社會團體,104/01/17,蔡書通,已立案,03-4950120,1040007631,320桃園市中壢區環北路7號3樓
中華民國天人一家世界大同協會,社會團體,096/12/16,洪國利,已立案,0968545947,0970014191,300新竹市千甲路360巷2號
中華民國縱鶴拳協會,社會團體,091/01/20,趙夢龍,已立案,05-6322722,0910005308,632雲林縣虎尾鎮632博愛路80號
台灣周易文化研究會,社會團體,090/10/13,鄧美玲,已立案,0939457690,0910002742,221新北市汐止區忠山里13鄰忠3街39巷6號3樓
台灣工商菁英協進會,社會團體,091/06/29,蔡茂賢,已立案,04-2285-7671,0910022935,402臺中市南區合作街246之1號
中國文化觀光研究發展協會,社會團體,080/01/05,唐學斌,解散,02-2751-9568,,臺北市安和路一一號九樓
中華佛教青年會,社會團體,078/06/17,釋明毓(連惠毓),已立案,02-25670868,0920039724,104臺北市中山區長安東路2段78號2樓
中華民國美髮美容專業證照技術鑑定研究學會,社會團體,092/11/09,林政翰,已立案,02-25095358,0920045796,104臺北市中山區建國北路1段156號4樓
中華太極運動養生協會,社會團體,089/07/16,鄭文成,已立案,03-371-2751,0960151755,330桃園市桃園區經國路9號4樓之2
台灣葡萄協會,社會團體,100/10/20,詹光榮,已立案,04-25896696,1000221031,369苗栗縣卓蘭鎮卓坪路211號傑農合作農場
臺灣雙十傳愛協會,社會團體,104/10/30,邱正弘,已立案,02-27203068,1040091559,110臺北市信義區基隆路一段380號6樓
